UDS_Scale,CSF_Scale,Is_Baseline,Replication,Method,Expected_Makespan,Overtime_Prob,Error
0.15,1.2,False,17,Age-Stratified,685.5,0.04,
0.15,1.2,False,18,Stochastic-MILP,684.45,0.04,
0.15,1.2,False,18,LPT,684.45,0.04,
0.15,1.2,False,18,Deterministic,684.45,0.06,
0.15,1.2,False,18,Age-Stratified,684.6,0.03,
0.15,1.2,False,19,Stochastic-MILP,687.35,0.07,
0.15,1.2,False,19,LPT,687.35,0.07,
0.15,1.2,False,19,Deterministic,687.35,0.1,
0.15,1.2,False,19,Age-Stratified,690.15,0.14,
0.15,1.2,False,20,Stochastic-MILP,685.7,0.03,
0.15,1.2,False,20,LPT,685.7,0.03,
0.15,1.2,False,20,Deterministic,685.7,0.06,
0.15,1.2,False,20,Age-Stratified,693.8,0.17,
0.15,1.2,False,21,Stochastic-MILP,684.9,0.05,
0.15,1.2,False,21,LPT,684.9,0.05,
0.15,1.2,False,21,Deterministic,684.9,0.07,
0.15,1.2,False,21,Age-Stratified,687.85,0.06,
0.15,1.2,False,22,Stochastic-MILP,689.55,0.05,
0.15,1.2,False,22,LPT,689.55,0.05,
0.15,1.2,False,22,Deterministic,689.55,0.1,
0.15,1.2,False,22,Age-Stratified,694.55,0.15,
0.15,1.2,False,23,Stochastic-MILP,685.1,0.04,
0.15,1.2,False,23,LPT,683.95,0.04,
0.15,1.2,False,23,Deterministic,683.95,0.05,
0.15,1.2,False,23,Age-Stratified,686.9,0.07,
0.15,1.2,False,24,Stochastic-MILP,686.55,0.05,
0.15,1.2,False,24,LPT,686.55,0.05,
0.15,1.2,False,24,Deterministic,686.55,0.09,
0.15,1.2,False,24,Age-Stratified,690.6,0.06,
0.15,1.2,False,25,Stochastic-MILP,683.25,0.02,
0.15,1.2,False,25,LPT,683.4,0.03,
0.15,1.2,False,25,Deterministic,683.4,0.05,
0.15,1.2,False,25,Age-Stratified,691.3,0.16,
0.15,1.2,False,26,Stochastic-MILP,683.0,0.03,
0.15,1.2,False,26,LPT,682.7,0.02,
0.15,1.2,False,26,Deterministic,682.7,0.03,
0.15,1.2,False,26,Age-Stratified,689.55,0.08,
0.15,1.2,False,27,Stochastic-MILP,689.0,0.11,
0.15,1.2,False,27,LPT,689.0,0.11,
0.15,1.2,False,27,Deterministic,689.0,0.14,
0.15,1.2,False,27,Age-Stratified,693.8,0.15,
0.15,1.2,False,28,Stochastic-MILP,683.75,0.04,
0.15,1.2,False,28,LPT,682.1,0.01,
0.15,1.2,False,28,Deterministic,682.1,0.03,
0.15,1.2,False,28,Age-Stratified,686.2,0.05,
0.15,1.2,False,29,Stochastic-MILP,685.6,0.04,
0.15,1.2,False,29,LPT,685.0,0.03,
0.15,1.2,False,29,Deterministic,685.0,0.04,
0.15,1.2,False,29,Age-Stratified,686.0,0.04,
0.15,1.2,False,30,Stochastic-MILP,684.35,0.02,
0.15,1.2,False,30,LPT,684.35,0.02,
0.15,1.2,False,30,Deterministic,684.35,0.03,
0.15,1.2,False,30,Age-Stratified,685.35,0.05,
0.3,0.4,False,1,Stochastic-MILP,688.75,0.04,
0.3,0.4,False,1,LPT,688.75,0.04,
0.3,0.4,False,1,Deterministic,688.75,0.12,
0.3,0.4,False,1,Age-Stratified,695.1,0.18,
0.3,0.4,False,2,Stochastic-MILP,689.6,0.03,
0.3,0.4,False,2,LPT,689.0,0.02,
0.3,0.4,False,2,Deterministic,689.0,0.05,
0.3,0.4,False,2,Age-Stratified,689.75,0.05,
0.3,0.4,False,3,Stochastic-MILP,686.8,0.02,
0.3,0.4,False,3,LPT,686.8,0.02,
0.3,0.4,False,3,Deterministic,686.8,0.06,
0.3,0.4,False,3,Age-Stratified,687.3,0.05,
0.3,0.4,False,4,Stochastic-MILP,689.0,0.0,
0.3,0.4,False,4,LPT,689.0,0.0,
0.3,0.4,False,4,Deterministic,689.0,0.07,
0.3,0.4,False,4,Age-Stratified,691.85,0.14,
0.3,0.4,False,5,Stochastic-MILP,688.2,0.05,
0.3,0.4,False,5,LPT,687.3,0.04,
0.3,0.4,False,5,Deterministic,687.3,0.04,
0.3,0.4,False,5,Age-Stratified,689.0,0.1,
0.3,0.4,False,6,Stochastic-MILP,690.65,0.03,
0.3,0.4,False,6,LPT,690.65,0.03,
0.3,0.4,False,6,Deterministic,690.65,0.15,
0.3,0.4,False,6,Age-Stratified,693.25,0.15,
0.3,0.4,False,7,Stochastic-MILP,687.4,0.0,
0.3,0.4,False,7,LPT,687.4,0.0,
0.3,0.4,False,7,Deterministic,687.4,0.07,
0.3,0.4,False,7,Age-Stratified,688.8,0.06,
0.3,0.4,False,8,Stochastic-MILP,690.4,0.03,
0.3,0.4,False,8,LPT,690.4,0.03,
0.3,0.4,False,8,Deterministic,690.4,0.07,
0.3,0.4,False,8,Age-Stratified,692.05,0.11,
0.3,0.4,False,9,Stochastic-MILP,688.3,0.01,
0.3,0.4,False,9,LPT,688.45,0.01,
0.3,0.4,False,9,Deterministic,688.45,0.09,
0.3,0.4,False,9,Age-Stratified,691.95,0.13,
0.3,0.4,False,10,Stochastic-MILP,687.15,0.01,
0.3,0.4,False,10,LPT,687.15,0.01,
0.3,0.4,False,10,Deterministic,687.15,0.02,
0.3,0.4,False,10,Age-Stratified,687.6,0.01,
0.3,0.4,False,11,Stochastic-MILP,687.85,0.01,
0.3,0.4,False,11,LPT,688.0,0.02,
0.3,0.4,False,11,Deterministic,688.0,0.06,
0.3,0.4,False,11,Age-Stratified,689.25,0.06,
0.3,0.4,False,12,Stochastic-MILP,689.2,0.03,
